rank,orpha_code,disease_name,weighted_score,prevalence_score,socioeconomic_score,drugs_score,clinical_trials_score,gene_score,groups_score,justification
21,2195,Dicarboxylic aminoaciduria,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene SLC1A1, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
22,42062,Iminoglycinuria,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene SLC36A2, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
23,212,Cystathioninuria,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene CTH, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
24,2157,Histidinemia,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene HAL, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
25,3129,Sarcosinemia,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene SARDH, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
26,25,Glutaryl-CoA dehydrogenase deficiency,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene GCDH, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
27,289504,Combined malonic and methylmalonic acidemia,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ACSF3, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
28,79435,Oculocutaneous albinism type 4,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene SLC45A2, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
29,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene AGL, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
30,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene PYGL, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
31,469,Hereditary fructose intolerance,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ALDOB, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
32,53693,GRACILE syndrome,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene BCS1L, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
33,480,Kearns-Sayre syndrome,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene RRM2B, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
34,644,NARP syndrome,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene MT-ATP6, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
35,26792,Short chain acyl-CoA dehydrogenase deficiency,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ACADS, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
36,132,Hereditary butyrylcholinesterase deficiency,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene BCHE, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
37,976,Adenine phosphoribosyltransferase deficiency,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene APRT, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
38,818,Smith-Lemli-Opitz syndrome,8.2,6,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene DHCR7, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
39,79239,Classic galactosemia,8.18,6,10.0,9.9,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene GALT, ideal for gene therapy approaches; Limited therapeutic options: 1 medical product(s); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
40,394,Homocystinuria due to cystathionine beta-synthase deficiency,8.15,6,10.0,9.8,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene CBS, ideal for gene therapy approaches; Limited therapeutic options: 2 medical product(s); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
41,470,Lysinuric protein intolerance,8.0,6,10.0,9.2,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene SLC7A7, ideal for gene therapy approaches; Limited therapeutic options: 1 EU tradename drug(s); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
42,447,Paroxysmal nocturnal hemoglobinuria,7.85,6,10.0,8.2,1.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene PIGA, ideal for gene therapy approaches; Limited therapeutic options: 2 EU tradename drug(s), 2 medical product(s); Active Spanish clinical research with 10 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
43,324,Fabry disease,7.66,3,10.0,10.0,0.6,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene GLA, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 6 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
44,578,Mucolipidosis type IV,7.62,3,10.0,10.0,0.2,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene MCOLN1, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 2 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
45,35710,Glucose-galactose malabsorption,7.61,3,10.0,10.0,0.1,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene SLC5A1, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 1 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
46,726,Alpers-Huttenlocher syndrome,7.61,3,10.0,10.0,0.1,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene POLG, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 1 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
47,5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,7.61,3,10.0,10.0,0.1,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene HADHA, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 1 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
48,510,Lesch-Nyhan syndrome,7.61,3,10.0,10.0,0.1,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene HPRT1, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); Active Spanish clinical research with 1 trial(s); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
49,34515,FKRP-related limb-girdle muscular dystrophy R9,7.6,3,10.0,10.0,0.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene FKRP, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
50,585,Multiple sulfatase deficiency,7.6,3,10.0,10.0,0.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene SUMF1, ideal for gene therapy approaches; No approved therapies available (high unmet medical need); No ongoing clinical trials in Spain or EU; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
