rank,orpha_code,disease_name,weighted_score,prevalence_score,socioeconomic_score,drugs_score,clinical_trials_score,gene_score,groups_score,justification
19,35122,Congenital sucrase-isomaltase deficiency,8.6,8.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene(s): SI, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
20,98673,"Autosomal dominant optic atrophy, classic form",8.6,8.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene(s): DNM1L, OPA1, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
21,550,MELAS,8.6,3.0,10.0,10.0,10.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene(s): MT-CO1, MT-CO2, MT-ND1 (and 7 others), suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 5 ongoing trial(s): NCT06685835 (A Study of the Efficacy and Safety of Brensocatib in Adults With Moderate to Severe Hidradenitis Suppurativa (HS)); NCT05218655 (A Safety Study for Previously Treated Vatiquinone (PTC743) Participants With Inherited Mitochondrial Disease) (and 3 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
22,391665,Homozygous familial hypercholesterolemia,8.6,3.0,10.0,10.0,10.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene(s): APOB, LDLR, LDLRAP1 (and 1 others), suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 2 ongoing trial(s): NCT05682378 (Long-term Safety and Tolerability of Inclisiran in Participants With HeFH or HoFH Who Have Completed the Adolescent ORION-16 or ORION-13 Studies); NCT04370899 (Early Detection of Familial Hypercholesterolemia in Children); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
23,816,Sjögren-Larsson syndrome,8.6,8.0,10.0,10.0,0.0,10.0,10.0,"Moderate-high prevalence (1-5 / 10 000) affecting substantial population; Monogenic disease caused by gene(s): ALDH3A2, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
24,709,Peters plus syndrome,8.4,2.0,10.0,10.0,10.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene(s): B3GLCT, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 6 ongoing trial(s): NCT05929066 (A Study of Retatrutide (LY3437943) in Participants Who Have Obesity or Overweight); NCT05929079 (A Study of Retatrutide (LY3437943) in Participants With Type 2 Diabetes Mellitus Who Have Obesity or Overweight) (and 4 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
25,333,Farber disease,8.4,2.0,10.0,10.0,10.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene(s): ASAH1, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 100 ongoing trial(s): NCT01804686 (A Long-term Extension Study of PCI-32765 (Ibrutinib)); NCT04245839 (A Study to Evaluate the Efficacy and Safety of JCAR017 in Adult Subjects With Relapsed or Refractory Indolent B-cell Non-Hodgkin Lymphoma (NHL)) (and 98 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
26,139,CHILD syndrome,8.4,2.0,10.0,10.0,10.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene(s): NSDHL, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 82 ongoing trial(s): NCT06362486 (Stress in Pregnancy During the Covid19 Pandemic and Impact on the Newborn Neurodevelopment); NCT06392386 (A Study of Efgartigimod PH20 SC in Children Between 2 and Less Than 18 Years of Age with Generalized Myasthenia Gravis) (and 80 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
27,251383,CK syndrome,8.4,2.0,10.0,10.0,10.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene(s): NSDHL, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 4 ongoing trial(s): NCT02938520 (Study to Evaluate the Efficacy, Safety, and Tolerability of Long-acting Intramuscular Cabotegravir and Rilpivirine for Maintenance of Virologic Suppression Following Switch From an Integrase Inhibitor in HIV-1 Infected Therapy Naive Participants); NCT05027984 (Interventional Strategy for Non-culprit Lesions With Major Vulnerability Criteria at OCT in Patients With ACS) (and 2 others); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
28,443197,X-linked erythropoietic protoporphyria,8.4,2.0,10.0,10.0,10.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene(s): ALAS2, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 2 ongoing trial(s): NCT06144840 (INcreased Sun Exposure Without Pain In Research Participants With EPP or XLP); NCT05005975 (Extension Study to Evaluate Safety and Tolerability of Oral Dersimelagon (MT-7117) in Subjects With Erythropoietic Protoporphyria (EPP) or X-Linked Protoporphyria (XLP)); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
29,272,"Congenital muscular dystrophy, Fukuyama type",8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): FKTN, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
30,912,Zellweger syndrome,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): PEX1, PEX10, PEX11B (and 10 others), suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
31,926,Acatalasemia,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): CAT, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
32,2195,Dicarboxylic aminoaciduria,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): SLC1A1, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
33,2116,Hartnup disease,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): CLTRN, SLC6A19, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
34,42062,Iminoglycinuria,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): SLC36A2, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
35,212,Cystathioninuria,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): CTH, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
36,2157,Histidinemia,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): HAL, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
37,3129,Sarcosinemia,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): SARDH, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
38,25,Glutaryl-CoA dehydrogenase deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): GCDH, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
39,6,3-methylcrotonyl-CoA carboxylase deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): MCCC1, MCCC2, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
40,289504,Combined malonic and methylmalonic acidemia,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): ACSF3, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
41,79435,Oculocutaneous albinism type 4,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): SLC45A2, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
42,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): AGL, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
43,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): PYGL, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
44,264580,Glycogen storage disease due to liver phosphorylase kinase deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): PHKA2, PHKG2, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
45,469,Hereditary fructose intolerance,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): ALDOB, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
46,53693,GRACILE syndrome,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): BCS1L, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
47,480,Kearns-Sayre syndrome,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): RRM2B, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
48,644,NARP syndrome,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): MT-ATP6, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
49,26792,Short chain acyl-CoA dehydrogenase deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): ACADS, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
50,132,Hereditary butyrylcholinesterase deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene(s): BCHE, suitable for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
