rank,orpha_code,disease_name,weighted_score,prevalence_score,socioeconomic_score,drugs_score,clinical_trials_score,gene_score,groups_score,justification
40,26792,Short chain acyl-CoA dehydrogenase deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene ACADS, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
41,132,Hereditary butyrylcholinesterase deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene BCHE, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
42,976,Adenine phosphoribosyltransferase deficiency,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene APRT, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
43,818,Smith-Lemli-Opitz syndrome,8.2,6.0,10.0,10.0,0.0,10.0,10.0,"Standard rare disease prevalence (1-9 / 100 000) within EU definition; Monogenic disease caused by gene DHCR7, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; No ongoing clinical trials in Spain; Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
44,35710,Glucose-galactose malabsorption,8.1,3.0,10.0,10.0,5.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene SLC5A1, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT06498128 (Registry to Collect Information on Pregnancy, Neonatal, and Infant Outcomes in Pregnant Women Exposed to QUVIVIQ®); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
45,726,Alpers-Huttenlocher syndrome,8.1,3.0,10.0,10.0,5.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene POLG, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT05218655 (A Safety Study for Previously Treated Vatiquinone (PTC743) Participants With Inherited Mitochondrial Disease); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
46,5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,8.1,3.0,10.0,10.0,5.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene HADHA, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT05933200 (A Study to Determine the Effect of Triheptanoin Compared With Even-Chain MCT on MCEs in Pediatric Patients With LC-FAOD); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
47,510,Lesch-Nyhan syndrome,8.1,3.0,10.0,10.0,5.0,10.0,10.0,"Low prevalence (1-9 / 1 000 000) ultra-rare condition; Monogenic disease caused by gene HPRT1, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT04641741 (Effect of Mepolizumab on Severe Eosinophilic Asthma); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
48,584,Mucopolysaccharidosis type 7,7.9,2.0,10.0,10.0,5.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene GUSB, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT03604835 (Mucopolysaccharidosis VII Disease Monitoring Program); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
49,67041,Hyaluronidase deficiency,7.9,2.0,10.0,10.0,5.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene HYAL1, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT05755035 (A Study About How TAK-881 is Processed by the Body and Side Effects in People With Primary Immunodeficiency Diseases); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
50,662216,Mucopolysaccharidosis type 10,7.9,2.0,10.0,10.0,5.0,10.0,10.0,"Very low prevalence (<1 / 1 000 000) extremely rare condition; Monogenic disease caused by gene ARSK, ideal for gene therapy approaches; No approved therapies available, representing high unmet medical need; Active clinical research in Spain with 1 ongoing trial(s): NCT02716246 (Phase I/II/III Gene Transfer Clinical Trial of scAAV9.U1a.hSGSH); Socioeconomic impact: assumed high (mock phase); Research groups: assumed active involvement (mock phase)"
